economy,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
AGO,75.017,74.784,74.55,74.315,74.079,72.459,75.894,75.068,73.388
BDI,82.007,82.277,82.394,82.395,82.206,79.252,81.752,81.566,81.292
BEN,73.353,73.977,74.592,75.201,75.803,74.964,76.013,75.942,76.152
BFA,75.336,75.051,74.768,74.491,74.217,71.125,69.289,67.014,66.235
BWA,58.55,59.008,59.49,59.998,60.533,58.748,61.795,62.716,66.374
CAF,65.875,65.9,65.926,65.951,66.003,65.412,65.434,66.144,66.21
CIV,60.529,59.417,58.965,58.49,57.992,58.118,59.336,60.42,60.653
CMR,66.29,64.87,63.44,62.018,60.613,58.606,57.588,57.65,57.663
COD,62.506,62.254,62.013,61.735,61.435,60.589,60.862,61.86,62.168
COG,67.492,67.417,67.393,67.403,67.449,64.182,64.915,66.65,66.597
COM,36.127,38.276,40.481,42.727,44.967,46.573,48.78,48.806,48.865
CPV,56.09,56.399,56.73,53.138,55.432,51.573,52.659,55.272,55.753
DJI,18.553,18.755,18.968,19.188,19.407,19.139,19.424,19.621,19.924
DZA,16.519,16.31,16.229,16.144,16.053,14.477,14.758,15.784,15.834
EGY,24.439,24.652,23.754,19.728,17.001,15.707,16.783,16.384,19.83
ERI,76.465,76.414,76.308,76.229,76.125,75.136,75.745,76.105,76.15
ETH,72.294,70.182,68.072,65.952,63.829,61.029,59.208,59.75,59.938
GAB,43.18,43.382,43.534,43.652,43.746,40.712,41.413,43.639,43.621
GHA,66.75,65.732,64.701,63.295,61.89,59.786,58.712,57.483,57.546
GIN,48.774,47.47,46.17,44.875,43.582,43.148,43.261,43.887,44.128
GMB,45.483,45.404,45.552,45.889,46.158,45.99,46.181,46.396,46.569
GNB,55.685,55.775,55.881,56.004,58.118,58.505,59.799,61.141,61.312
GNQ,55.316,55.486,55.617,55.704,55.747,51.869,52.669,55.371,55.114
KEN,71.751,71.78,69.069,66.216,63.226,62.647,63.198,63.525,63.693
LBR,73.287,73.307,73.339,73.381,73.428,72.711,73.018,73.305,73.382
LBY,36.586,36.61,36.615,36.596,36.562,33.368,33.752,36.241,36.121
LSO,56.707,55.377,54.033,52.678,51.319,50.833,50.595,50.786,50.796
MAR,25.884,24.76,23.957,23.789,23.612,22.262,22.316,21.208,21.374
MDG,84.628,84.545,84.48,84.436,84.411,83.659,84.296,84.403,84.481
MLI,63.261,61.647,60.005,57.492,55.009,51.987,54.524,54.543,54.583
MOZ,78.563,78.484,78.406,78.329,78.247,77.402,77.338,77.774,77.865
MRT,27.634,27.402,27.172,27.182,27.204,26.796,26.98,26.97,27.136
MUS,52.278,51.319,52.054,52.292,53.532,50.142,47.593,50.156,56.478
MWI,62.981,61.282,59.556,59.664,59.791,64.082,59.508,59.502,59.401
NAM,58.402,57.942,57.388,56.773,56.713,53.804,54.442,56.058,56.197
NER,63.033,62.533,62.033,61.533,61.032,64.571,68.786,73.78,73.682
NGA,77.284,77.301,77.46,77.573,77.736,75.984,76.84,77.973,81.884
RWA,56.555,56.715,56.892,56.311,53.973,59.069,55.035,57.182,60.563
SDN,23.826,22.562,21.326,20.08,18.792,17.278,16.012,14.594,
SEN,35.367,40.121,36.318,37.322,38.354,38.02,38.539,38.575,38.672
SLE,56.692,55.389,54.082,52.772,52.956,52.449,52.838,53.033,53.239
SOM,21.684,21.721,21.775,21.831,21.879,21.675,21.713,21.438,21.489
SSD,73.32,73.094,72.733,72.796,73.209,72.512,72.877,72.228,72.034
STP,22.6,22.696,22.827,22.987,23.165,22.566,22.832,22.998,22.872
SWZ,48.809,49.013,49.235,49.48,49.745,49.169,49.785,49.92,50.801
SYC,,,,,,,,,
TCD,50.688,50.022,49.357,48.693,48.723,48.256,48.295,48.111,48.017
TGO,56.668,56.73,56.801,56.884,56.975,56.443,56.79,57.436,57.73
TUN,28.759,29.467,29.424,30.535,31.664,29.56,30.142,31.178,30.516
TZA,81.62,81.679,81.737,81.79,81.846,80.86,81.988,81.922,82.006
UGA,74.722,72.671,70.372,72.595,74.501,74.882,75.782,76.597,76.715
ZAF,52.006,52.189,53.255,53.168,53.39,48.613,50.108,52.119,54.26
ZMB,51.766,51.882,52.011,52.149,52.617,54.718,54.523,54.393,56.641
ZWE,61.622,61.715,61.839,61.978,62.086,60.839,61.542,60.913,62.943
